Category,License,Dependency,Notes
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.play # play-guice_2.12 # 2.6.23,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.play # play-json_2.12 # 2.6.12,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.play # play-logback_2.12 # 2.6.23,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.play # play-netty-utils # 2.6.23,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.play # play-server_2.12 # 2.6.23,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.play # play-streams_2.12 # 2.6.23,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.play # play-test_2.12 # 2.6.23,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.play # play-ws_2.12 # 2.6.23,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.play # play_2.12 # 2.6.23,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.play # twirl-api_2.12 # 1.3.15,
Apache,"The Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",io.aeron # aeron-client # 1.15.1,
Apache,"The Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",io.aeron # aeron-driver # 1.15.1,
Apache,"The Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.agrona # agrona # 0.9.31,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.fasterxml.jackson.core # jackson-annotations # 2.9.6,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.fasterxml.jackson.core # jackson-core # 2.9.6,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.fasterxml.jackson.core # jackson-databind # 2.9.6,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.fasterxml.jackson.datatype # jackson-datatype-jdk8 # 2.8.11,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.fasterxml.jackson.datatype # jackson-datatype-jsr310 # 2.8.11,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.fasterxml.jackson.module # jackson-module-paranamer # 2.9.6,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.fasterxml.jackson.module # jackson-module-scala_2.12 # 2.9.6,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.google.code.findbugs # jsr305 # 3.0.2,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.google.guava # guava # 25.1-android,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.google.inject # guice # 4.2.2,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.google.inject.extensions # guice-assistedinject # 4.1.0,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.google.j2objc # j2objc-annotations # 1.1,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",com.twitter # hpack # 1.0.2,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",commons-logging # commons-logging # 1.1.3,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",commons-logging # commons-logging # 1.2,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",javax.inject # javax.inject # 1,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",net.lingala.zip4j # zip4j # 1.3.2,
Apache,"The Apache Software License, Version 2.0 (src/assemble/EHCACHE-CORE-LICENSE.txt)",net.sf.ehcache # ehcache # 2.10.6,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.ehcache # jcache # 1.0.1,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.elasticsearch.client # elasticsearch-rest-client # 6.5.2,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.seleniumhq.selenium # htmlunit-driver # 2.27,
Apache,"The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",org.seleniumhq.selenium # selenium-api # 3.5.3,
